Pathway_ID,Pathway,Pathway_Hierarchy,Uniprot_IDs,Genes,GO_Annotations,Gene_Count
33,Proteases,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases","P07267, P10507, P11914, P25294, P25375, P25573, P25694, P28321, P28627, P32329, P32454, P32795, P32898, P35999, P36037, P36163, P36775, P38295, P38821, P39925, P39940, P40051, P40341, P40354, P43616, P46972, P47154, P53259, P53867, Q01532, Q04228, Q04311, Q04472, Q05676, Q05930, Q06010, Q06524, Q10740","PEP4, MAS1, MAS2, SIS1, PRD1, MGR1, CDC48, YJU3, IMP1, YPS1, APE2, YME1, CYM1, OCT1, P36037, OMA1, PIM1, EHT1, APE4, AFG3, RSP5, ICP55, YTA12, NTA1, DUG1, IMP2, STE24, PCP1, P53867, LAP3, UBX2, Q04311, MGR3, SOM1, Q05930, STE23, Q06524, LAP2",GO:0004175 (endopeptidase activity); GO:0004176 (ATP-dependent peptidase activity); GO:0004177 (aminopeptidase activity); GO:0004190 (aspartic-type endopeptidase activity); GO:0004222 (metalloendopeptidase activity); GO:0004252 (serine-type endopeptidase activity); GO:0006508 (proteolysis); GO:0008234 (cysteine-type peptidase activity); GO:0008242 (omega peptidase activity); GO:0017171 (serine hydrolase activity); GO:0030163 (protein catabolic process); GO:0031146 (SCF-dependent proteasomal ubiquitin-dependent protein catabolic process); GO:0035694 (mitochondrial protein catabolic process); GO:0042720 (mitochondrial inner membrane peptidase complex); GO:0043161 (proteasome-mediated ubiquitin-dependent protein catabolic process); GO:0043162 (ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway); GO:0043171 (peptide catabolic process); GO:0051603 (proteolysis involved in protein catabolic process); GO:0071586 (CAAX-box protein processing); GO:0072671 (mitochondria-associated ubiquitin-dependent protein catabolic process); GO:0120174 (stress-induced homeostatically regulated protein degradation pathway),38
34,Chaperones,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones","O74700, P07267, P0CS90, P14832, P15108, P15992, P16474, P17967, P18496, P19882, P20081, P25294, P25573, P25719, P31539, P32453, P32472, P32795, P32839, P32939, P33416, P35191, P36016, P36046, P36775, P38323, P38345, P38523, P38910, P38958, P40202, P40548, P40961, P42844, P43613, P50085, P50087, P53193, P53266, P87108, Q01852, Q03429, Q04472, Q04697, Q04935, Q05931, Q12743, Q99316","TIM9, PEP4, SSC1, CPR1, P15108, HSP26, KAR2, PDI1, ATP10, HSP60, FPR1, SIS1, MGR1, CPR3, HSP104, ATP11, FPR2, YME1, BCS1, YPT7, HSP78, MDJ1, LHS1, MIA40, PIM1, MCX1, SDH8, MGE1, HSP10, PET100, CCS1, SNL1, PHB1, ZIM17, ERJ5, PHB2, MIC26, JAC1, SHY1, TIM10, TIM44, MZM1, MGR3, GSF2, COX20, SSQ1, DFM1, MPD2",GO:0003755 (peptidyl-prolyl cis-trans isomerase activity); GO:0006457 (protein folding); GO:0032460 (negative regulation of protein oligomerization); GO:0042026 (protein refolding); GO:0043254 (regulation of protein-containing complex assembly); GO:0044183 (protein folding chaperone); GO:0051082 (unfolded protein binding); GO:0051085 (chaperone cofactor-dependent protein refolding); GO:0051087 (protein-folding chaperone binding); GO:0051131 (chaperone-mediated protein complex assembly); GO:0051787 (misfolded protein binding); GO:0097718 (disordered domain specific binding); GO:0101031 (protein folding chaperone complex); GO:1903644 (regulation of chaperone-mediated protein folding),48
35,OXPHOS,OXPHOS,"O60200, P00044, P00045, P00127, P00128, P00163, P00401, P00410, P00420, P00424, P00425, P00427, P00830, P00854, P00856, P01098, P04037, P04039, P04710, P05626, P06182, P07143, P07251, P07252, P07253, P07255, P07256, P07257, P08067, P08468, P08525, P09457, P0CS90, P10174, P10355, P12687, P14066, P17505, P18239, P18496, P19516, P21306, P21560, P21801, P22135, P22289, P23833, P28239, P30902, P32335, P32340, P32453, P32522, P32799, P32839, P33421, P35191, P35731, P36038, P36060, P36064, P36139, P36163, P36775, P37267, P37298, P37299, P38071, P38077, P38228, P38345, P38626, P38824, P38958, P39006, P39102, P39103, P39952, P40215, P40452, P40491, P40513, P40576, P42834, P42900, P43557, P46955, P47052, P47081, P49017, P50273, P53140, P53193, P53266, P53721, P53722, P61829, P81449, P81450, P81451, Q00711, Q00873, Q01519, Q02630, Q02771, Q02772, Q02888, Q03020, Q03153, Q03429, Q03667, Q03713, Q04341, Q04401, Q04935, Q05043, Q05676, Q05809, Q06236, Q06405, Q06510, Q06678, Q07540, Q07807, Q07914, Q08023, Q08230, Q12165, Q12181, Q12233, Q12287, Q12335, Q12349, Q12374, Q2V2P9, Q3E6R5, Q3E731, Q3E785, Q3E7A4, Q3E7B2, Q3E823, Q3E824, Q3E846, Q8TGM6, Q99258, Q99373","MDM35, CYC1, CYC7, QCR6, QCR7, P00163, COX1, COX2, COX3, COX5A, COX5B, COX6, ATP2, ATP6, ATP8, STF1, COX4, COX8, AAC1, ATP4, CYC3, CYT1, ATP1, CBP1, CBP6, COX9, COR1, QCR2, RIP1, PET111, QCR8, ATP5, SSC1, COX7, PET122, MRP7, P14066, MDH1, P18239, ATP10, COX11, ATP15, CBP3, SDH2, ATP12, QCR9, SCO1, PPA2, ATP7, MSS51, NDI1, ATP11, PET309, COX13, BCS1, SDH3, MDJ1, OAR1, CBT1, MCR1, CMC1, PET10, OMA1, PIM1, CBP4, SDH4, QCR10, ETR1, ATP3, TCM62, SDH8, CBR1, COX23, PET100, PSD1, XDJ1, COX14, OXA1, NDE1, COA1, FMC1, MAM33, INA22, MDJ2, SLS1, FMP32, P46955, YJL045W, COX16, COQ5, ATP22, RMD9, JAC1, SHY1, RCF2, ATP23, OLI1, TIM11, ATP18, ATP19, SDH1, CYT2, COX12, NUP116, PET117, PET191, INA17, ISU1, ATP25, MZM1, MIX17, RCF1, MIX14, SDH7, COX20, Q05043, SOM1, COA4, SHH4, ATP17, TAZ1, MRPL35, YFH1, Q07807, PAM18, FMP25, SDH5, Q12165, Q12181, ATP20, COX17, PST2, ATP14, NCA2, COX26, YDR381C-A, COX19, SDH6, CMC2, COA3, Q3E823, YOR020W-A, COA6, Q8TGM6, RIB3, PET20","GO:0001671 (ATPase activator activity); GO:0003954 (NADH dehydrogenase activity); GO:0003955 (NAD(P)H dehydrogenase (quinone) activity); GO:0004408 (holocytochrome-c synthase activity); GO:0006120 (mitochondrial electron transport, NADH to ubiquinone); GO:0006121 (mitochondrial electron transport, succinate to ubiquinone); GO:0006122 (mitochondrial electron transport, ubiquinol to cytochrome c); GO:0006123 (mitochondrial electron transport, cytochrome c to oxygen); GO:0008177 (succinate dehydrogenase (quinone) activity); GO:0008535 (respiratory chain complex IV assembly); GO:0009060 (aerobic respiration); GO:0015986 (proton motive force-driven ATP synthesis); GO:0016651 (oxidoreductase activity, acting on NAD(P)H); GO:0017004 (cytochrome complex assembly); GO:0033108 (mitochondrial respiratory chain complex assembly); GO:0033615 (mitochondrial proton-transporting ATP synthase complex assembly); GO:0033617 (mitochondrial cytochrome c oxidase assembly); GO:0034551 (mitochondrial respiratory chain complex III assembly); GO:0034553 (mitochondrial respiratory chain complex II assembly); GO:0042776 (proton motive force-driven mitochondrial ATP synthesis); GO:0043457 (regulation of cellular respiration); GO:0045259 (proton-transporting ATP synthase complex); GO:0045275 (respiratory chain complex III); GO:0045277 (respiratory chain complex IV); GO:0051117 (ATPase binding); GO:0070071 (proton-transporting two-sector ATPase complex assembly); GO:0097250 (mitochondrial respirasome assembly)",146
36,OXPHOS assembly factors,OXPHOS > OXPHOS assembly factors,"O60200, P36038, P36163, P36775, P38824, Q05676, Q05809, Q3E7A4","MDM35, CBT1, OMA1, PIM1, COX23, SOM1, COA4, CMC2",GO:0017004 (cytochrome complex assembly); GO:0033108 (mitochondrial respiratory chain complex assembly),8
37,Complex I,OXPHOS > Complex I,"P32340, P36060, P38626, P40215, Q12181, Q12335","NDI1, MCR1, CBR1, NDE1, Q12181, PST2","GO:0003954 (NADH dehydrogenase activity); GO:0003955 (NAD(P)H dehydrogenase (quinone) activity); GO:0006120 (mitochondrial electron transport, NADH to ubiquinone); GO:0016651 (oxidoreductase activity, acting on NAD(P)H)",6
38,Complex II,OXPHOS > Complex II,"P21801, P33421, P37298, P38228, P38345, P47052, Q00711, Q04401, Q06236, Q07540, Q08230, Q3E785","SDH2, SDH3, SDH4, TCM62, SDH8, YJL045W, SDH1, SDH7, SHH4, YFH1, SDH5, SDH6","GO:0006121 (mitochondrial electron transport, succinate to ubiquinone); GO:0008177 (succinate dehydrogenase (quinone) activity); GO:0034553 (mitochondrial respiratory chain complex II assembly); GO:1904231 (positive regulation of succinate dehydrogenase activity)",12
39,CII subunits,OXPHOS > Complex II > CII subunits,"P21801, P33421, P37298, P47052, Q00711, Q06236, Q07540, Q08230","SDH2, SDH3, SDH4, YJL045W, SDH1, SHH4, YFH1, SDH5","GO:0006121 (mitochondrial electron transport, succinate to ubiquinone); GO:0008177 (succinate dehydrogenase (quinone) activity)",8
40,CII assembly factors,OXPHOS > Complex II > CII assembly factors,"P38228, P38345, Q04401, Q08230, Q3E785","TCM62, SDH8, SDH7, SDH5, SDH6",GO:0034553 (mitochondrial respiratory chain complex II assembly),5
41,Complex III,OXPHOS > Complex III,"P00044, P00045, P00127, P00128, P00163, P07143, P07253, P07256, P07257, P08067, P08525, P14066, P21560, P22289, P32839, P37267, P37299, P39006, Q03429, Q08023, Q3E6R5","CYC1, CYC7, QCR6, QCR7, P00163, CYT1, CBP6, COR1, QCR2, RIP1, QCR8, P14066, CBP3, QCR9, BCS1, CBP4, QCR10, PSD1, MZM1, FMP25, YDR381C-A","GO:0006122 (mitochondrial electron transport, ubiquinol to cytochrome c); GO:0034551 (mitochondrial respiratory chain complex III assembly); GO:0045275 (respiratory chain complex III)",21
42,CIII subunits,OXPHOS > Complex III > CIII subunits,"P00044, P00045, P00127, P00128, P00163, P07143, P07256, P07257, P08067, P08525, P22289, P37299, P39006","CYC1, CYC7, QCR6, QCR7, P00163, CYT1, COR1, QCR2, RIP1, QCR8, QCR9, QCR10, PSD1","GO:0006122 (mitochondrial electron transport, ubiquinol to cytochrome c)",13
43,CIII assembly factors,OXPHOS > Complex III > CIII assembly factors,"P00128, P07253, P14066, P21560, P22289, P32839, P37267, Q03429, Q08023, Q3E6R5","QCR7, CBP6, P14066, CBP3, QCR9, BCS1, CBP4, MZM1, FMP25, YDR381C-A",GO:0034551 (mitochondrial respiratory chain complex III assembly),10
44,Complex IV,OXPHOS > Complex IV,"P00044, P00045, P00401, P00410, P00420, P00424, P00425, P00427, P04037, P04039, P07255, P08468, P0CS90, P10174, P10355, P12687, P19516, P23833, P32335, P32522, P32799, P36064, P38824, P38958, P39103, P40452, P43557, P47081, P53266, P53721, Q01519, Q02771, Q02772, Q03713, Q04935, Q05809, Q06678, Q12287, Q2V2P9, Q3E6R5, Q3E731, Q3E7A4, Q3E7B2, Q3E823, Q3E846","CYC1, CYC7, COX1, COX2, COX3, COX5A, COX5B, COX6, COX4, COX8, COX9, PET111, SSC1, COX7, PET122, MRP7, COX11, SCO1, MSS51, PET309, COX13, CMC1, COX23, PET100, COX14, COA1, FMP32, COX16, SHY1, RCF2, COX12, PET117, PET191, RCF1, COX20, COA4, MRPL35, COX17, COX26, YDR381C-A, COX19, CMC2, COA3, Q3E823, COA6","GO:0006123 (mitochondrial electron transport, cytochrome c to oxygen); GO:0008535 (respiratory chain complex IV assembly); GO:0033617 (mitochondrial cytochrome c oxidase assembly); GO:0045277 (respiratory chain complex IV)",45
45,CIV assembly factors,OXPHOS > Complex IV > CIV assembly factors,"P04037, P08468, P0CS90, P10355, P12687, P19516, P23833, P32335, P32522, P36064, P38824, P38958, P39103, P40452, P43557, P47081, P53266, P53721, Q01519, Q02771, Q02772, Q03713, Q04935, Q05809, Q06678, Q12287, Q3E6R5, Q3E731, Q3E7A4, Q3E7B2, Q3E823, Q3E846","COX4, PET111, SSC1, PET122, MRP7, COX11, SCO1, MSS51, PET309, CMC1, COX23, PET100, COX14, COA1, FMP32, COX16, SHY1, RCF2, COX12, PET117, PET191, RCF1, COX20, COA4, MRPL35, COX17, YDR381C-A, COX19, CMC2, COA3, Q3E823, COA6",GO:0008535 (respiratory chain complex IV assembly); GO:0033617 (mitochondrial cytochrome c oxidase assembly),32
46,Complex V,OXPHOS > Complex V,"P00830, P00854, P00856, P01098, P05626, P07251, P09457, P0CS90, P18496, P21306, P22135, P30902, P32453, P35191, P38077, P39102, P39952, P40491, P40576, P42834, P46955, P50273, P53193, P53722, P61829, P81449, P81450, P81451, Q02630, Q02888, Q03020, Q03153, Q06405, Q07914, Q12165, Q12233, Q12349, Q3E824","ATP2, ATP6, ATP8, STF1, ATP4, ATP1, ATP5, SSC1, ATP10, ATP15, ATP12, ATP7, ATP11, MDJ1, ATP3, XDJ1, OXA1, FMC1, INA22, MDJ2, P46955, ATP22, JAC1, ATP23, OLI1, TIM11, ATP18, ATP19, NUP116, INA17, ISU1, ATP25, ATP17, PAM18, Q12165, ATP20, ATP14, YOR020W-A",GO:0001671 (ATPase activator activity); GO:0015986 (proton motive force-driven ATP synthesis); GO:0033615 (mitochondrial proton-transporting ATP synthase complex assembly); GO:0042776 (proton motive force-driven mitochondrial ATP synthesis); GO:0045259 (proton-transporting ATP synthase complex); GO:0051117 (ATPase binding); GO:0070071 (proton-transporting two-sector ATPase complex assembly),38
47,CV subunits,OXPHOS > Complex V > CV subunits,"P01098, Q02630","STF1, NUP116",GO:0051117 (ATPase binding),2
48,CV assembly factors,OXPHOS > Complex V > CV assembly factors,"P0CS90, P18496, P22135, P32453, P39952, P40491, P40576, P50273, P53722, P81450, Q02888, Q03153, Q12349","SSC1, ATP10, ATP12, ATP11, OXA1, FMC1, INA22, ATP22, ATP23, ATP18, INA17, ATP25, ATP14",GO:0033615 (mitochondrial proton-transporting ATP synthase complex assembly); GO:0070071 (proton-transporting two-sector ATPase complex assembly),13
49,Respirasome assembly,OXPHOS > Respirasome assembly,"P32799, Q03713, Q06510, Q3E6R5","COX13, RCF1, TAZ1, YDR381C-A",GO:0097250 (mitochondrial respirasome assembly),4
50,Cytochrome C,OXPHOS > Cytochrome C,"P06182, Q00873","CYC3, CYT2",GO:0004408 (holocytochrome-c synthase activity),2
51,Metabolism,Mitochondrial central dogma > Metabolism,"P00359, P21375, P38884, P38885, P47008","TDH3, OSM1, AIM18, AIM46, SFH5",GO:0020037 (heme binding); GO:0046443 (FAD metabolic process),5
52,Metabolism,Metabolism,"O13525, P00175, P00358, P00359, P00360, P00420, P00445, P00447, P00549, P00560, P00890, P00924, P00925, P00927, P00950, P04710, P04840, P05694, P06168, P06208, P07170, P07275, P07342, P07807, P07991, P08417, P08679, P09368, P09440, P09624, P09950, P10566, P12689, P12695, P12709, P14540, P15454, P16387, P16451, P16603, P16622, P17106, P17505, P17695, P18239, P18544, P18900, P19097, P19262, P19414, P19516, P19955, P20967, P21375, P21592, P21801, P21954, P22133, P22768, P22803, P23500, P23542, P23833, P25374, P25379, P25566, P25578, P25605, P25646, P26364, P27616, P27680, P27697, P27796, P27882, P28241, P28321, P28817, P28834, P29509, P30624, P31116, P32190, P32191, P32266, P32316, P32331, P32332, P32378, P32419, P32463, P32473, P32573, P32771, P32796, P32860, P32874, P32891, P33303, P33327, P33421, P34227, P35200, P35731, P35999, P36010, P36013, P36014, P36023, P36046, P36056, P36059, P36060, P36064, P36152, P36156, P37292, P37298, P38013, P38071, P38072, P38075, P38122, P38127, P38143, P38169, P38221, P38295, P38345, P38626, P38790, P38797, P38812, P38816, P38857, P38880, P38891, P38988, P39002, P39522, P39533, P39722, P39724, P39726, P39940, P40012, P40029, P40035, P40086, P40099, P40165, P40185, P40202, P40360, P40416, P40471, P40495, P40530, P40556, P40581, P40582, P41735, P41903, P41911, P41921, P43122, P43557, P43567, P43616, P43635, P46367, P46681, P47016, P47039, P47912, P48015, P48360, P49017, P49095, P49367, P49775, P50861, P52893, P53088, P53154, P53157, P53170, P53193, P53219, P53230, P53257, P53264, P53311, P53312, P53318, P53320, P53598, P53615, P53848, P53889, P53982, P54115, P54783, P54857, P54861, P80235, Q00711, Q01217, Q01574, Q01976, Q02207, Q02784, Q03020, Q03218, Q03778, Q03941, Q04013, Q04344, Q04401, Q04458, Q04728, Q05776, Q05779, Q05867, Q05892, Q05931, Q06510, Q06892, Q07534, Q07540, Q07551, Q07560, Q07807, Q07821, Q07938, Q08058, Q08230, Q08645, Q08686, Q08742, Q08970, Q12029, Q12031, Q12036, Q12056, Q12166, Q12181, Q12184, Q12204, Q12208, Q12283, Q12287, Q12289, Q12305, Q12320, Q12375, Q12425, Q12428, Q12482, Q12486, Q12511, Q12524, Q12676, Q3E731, Q3E785, Q3E793, Q3E846, Q6Q560, Q99258","COQ4, CYB2, TDH2, TDH3, TDH1, COX3, SOD1, SOD2, CDC19, PGK1, CIT1, ENO1, ENO2, ILV1, GPM1, AAC1, POR1, MET6, ILV5, LEU4, ADK1, PUT2, ILV2, DFR1, CAR2, FUM1, CIT2, P09368, MIS1, LPD1, HEM1, MRS3, P12689, LAT1, PGI1, FBA1, GUK1, PDA1, PDX1, NCP1, HEM15, P17106, MDH1, GRX2, P18239, ARG8, COQ1, FAS2, KGD2, ACO1, COX11, YMR31, KGD1, OSM1, COX10, SDH2, IDP1, MDH2, ARG1, TRX2, MRS4, AAT2, SCO1, NFS1, P25379, MXR2, PGS1, ILV6, PTC6, P26364, ADE1, COQ3, COQ8, POT1, ERV1, IDH2, YJU3, EHD3, IDH1, TRR1, FAA1, HOM6, GUT1, GUT2, MGM1, ACH1, YMC1, OAC1, COQ2, MDH3, ACP1, PDB1, SPS19, P32771, CAT2, NFU1, HFA1, DLD1, SFC1, GDH2, SDH3, PRX1, P35200, OAR1, OCT1, YNK1, MAE1, P36014, P36023, MIA40, RSM22, YKL151C, MCR1, CMC1, P36152, ECM4, SHM1, SDH4, AHP1, ETR1, SCO2, PDX3, ECM31, RIM2, GPX2, BNA4, CDS1, EHT1, SDH8, CBR1, HTD2, PTC7, GEP4, TRR2, MPC2, MDM31, BAT1, GGC1, FAA3, ILV3, ACO2, GEM1, AIM1, GCV3, RSP5, HEM14, MXR1, PIC2, COX15, FAU1, YNL200C, MMF1, CCS1, ARG2, ATM1, AYR1, LYS12, PKP1, YIA6, HYR1, GTT1, CAT5, TES1, GPD2, GLR1, QRI7, FMP32, AGX1, DUG1, CIT3, ALD4, DLD2, NIT2, BNA3, FAA4, GCV1, ARH1, COQ5, GCV2, LYS4, HNT2, RIB4, ALT1, P53088, P53154, MPC1, PKP2, JAC1, IMO32, TAM41, TPC1, CLD1, MPC3, LSC2, COQ6, MTM1, LSC1, NCE103, FOL1, FMP41, IDP3, ALD6, ALO1, TGL2, P54861, P80235, SDH1, ARG5,6, ACS1, YSA1, FOX2, GRX5, ISU1, MMT1, Q03778, CAB5, YHM2, HNT1, SDH7, HFD1, ARG7, Q05776, COQ9, YLR283W, YLR290C, SSQ1, TAZ1, POS5, YDL119C, YFH1, YDL124W, CRD1, Q07807, ISA1, MEU1, COQ10, SDH5, MET7, TUM1, RDL2, MMT2, FSF1, ICL2, Q12036, ISU2, LEU9, Q12181, YAH1, YOR022C, USB1, MCT1, COX17, CRC1, RDL1, GLO4, ORT1, ISA2, PDH1, AGC1, YOR131C, PTC5, PCD1, FOL3, COX19, SDH6, YAL044W-A, COA6, ISD11, RIB3","GO:0001409 (guanine nucleotide transmembrane transporter activity); GO:0001676 (long-chain fatty acid metabolic process); GO:0003860 (3-hydroxyisobutyryl-CoA hydrolase activity); GO:0003864 (3-methyl-2-oxobutanoate hydroxymethyltransferase activity); GO:0003871 (5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity); GO:0003958 (NADPH-hemoprotein reductase activity); GO:0004069 (L-aspartate:2-oxoglutarate aminotransferase activity); GO:0004089 (carbonate dehydratase activity); GO:0004092 (carnitine O-acetyltransferase activity); GO:0004128 (cytochrome-b5 reductase activity, acting on NAD(P)H); GO:0004314 ([acyl-carrier-protein] S-malonyltransferase activity); GO:0004316 (3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity); GO:0004326 (tetrahydrofolylpolyglutamate synthase activity); GO:0004352 (glutamate dehydrogenase (NAD+) activity); GO:0004372 (glycine hydroxymethyltransferase activity); GO:0004416 (hydroxyacylglutathione hydrolase activity); GO:0004450 (isocitrate dehydrogenase (NADP+) activity); GO:0004458 (D-lactate dehydrogenase (cytochrome) activity); GO:0004460 (L-lactate dehydrogenase (cytochrome) activity); GO:0004605 (phosphatidate cytidylyltransferase activity); GO:0004634 (phosphopyruvate hydratase activity); GO:0004740 (pyruvate dehydrogenase (acetyl-transferring) kinase activity); GO:0004741 ([pyruvate dehydrogenase (acetyl-transferring)]-phosphatase activity); GO:0004743 (pyruvate kinase activity); GO:0004791 (thioredoxin-disulfide reductase (NADPH) activity); GO:0004792 (thiosulfate-cyanide sulfurtransferase activity); GO:0004806 (triacylglycerol lipase activity); GO:0005469 (succinate:fumarate antiporter activity); GO:0005476 (carnitine:O-acyl-L-carnitine antiporter activity); GO:0005507 (copper ion binding); GO:0006071 (glycerol metabolic process); GO:0006083 (acetate metabolic process); GO:0006085 (acetyl-CoA biosynthetic process); GO:0006086 (pyruvate decarboxylation to acetyl-CoA); GO:0006090 (pyruvate metabolic process); GO:0006094 (gluconeogenesis); GO:0006099 (tricarboxylic acid cycle); GO:0006101 (citrate metabolic process); GO:0006103 (2-oxoglutarate metabolic process); GO:0006104 (succinyl-CoA metabolic process); GO:0006107 (oxaloacetate metabolic process); GO:0006111 (regulation of gluconeogenesis); GO:0006164 (purine nucleotide biosynthetic process); GO:0006526 (L-arginine biosynthetic process); GO:0006537 (glutamate biosynthetic process); GO:0006544 (glycine metabolic process); GO:0006546 (glycine catabolic process); GO:0006565 (L-serine catabolic process); GO:0006591 (ornithine metabolic process); GO:0006592 (ornithine biosynthetic process); GO:0006633 (fatty acid biosynthetic process); GO:0006635 (fatty acid beta-oxidation); GO:0006641 (triglyceride metabolic process); GO:0006740 (NADPH regeneration); GO:0006741 (NADP biosynthetic process); GO:0006744 (ubiquinone biosynthetic process); GO:0006749 (glutathione metabolic process); GO:0006751 (glutathione catabolic process); GO:0006783 (heme biosynthetic process); GO:0006784 (heme A biosynthetic process); GO:0006790 (sulfur compound metabolic process); GO:0006801 (superoxide metabolic process); GO:0006825 (copper ion transport); GO:0006842 (tricarboxylic acid transport); GO:0006850 (mitochondrial pyruvate transmembrane transport); GO:0006864 (pyrimidine nucleotide transport); GO:0006878 (intracellular copper ion homeostasis); GO:0006879 (intracellular iron ion homeostasis); GO:0006979 (response to oxidative stress); GO:0008113 (peptide-methionine (S)-S-oxide reductase activity); GO:0008252 (nucleotidase activity); GO:0008379 (thioredoxin peroxidase activity); GO:0008413 (8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity); GO:0008663 (2',3'-cyclic-nucleotide 2'-phosphodiesterase activity); GO:0009062 (fatty acid catabolic process); GO:0009082 (branched-chain amino acid biosynthetic process); GO:0009083 (branched-chain amino acid catabolic process); GO:0009097 (isoleucine biosynthetic process); GO:0009098 (L-leucine biosynthetic process); GO:0009117 (nucleotide metabolic process); GO:0009142 (nucleoside triphosphate biosynthetic process); GO:0009164 (nucleoside catabolic process); GO:0009231 (riboflavin biosynthetic process); GO:0009396 (folic acid-containing compound biosynthetic process); GO:0009398 (FMN biosynthetic process); GO:0009437 (carnitine metabolic process); GO:0010133 (proline catabolic process to glutamate); GO:0010181 (FMN binding); GO:0010795 (regulation of ubiquinone biosynthetic process); GO:0015131 (oxaloacetate transmembrane transporter activity); GO:0015187 (glycine transmembrane transporter activity); GO:0015793 (glycerol transmembrane transport); GO:0015810 (aspartate transmembrane transport); GO:0015886 (heme transport); GO:0015937 (coenzyme A biosynthetic process); GO:0016156 (fumarate reductase (NADH) activity); GO:0016174 (NAD(P)H oxidase H2O2-forming activity); GO:0016226 (iron-sulfur cluster assembly); GO:0016779 (nucleotidyltransferase activity); GO:0017125 (deoxycytidyl transferase activity); GO:0018293 (protein-FAD linkage); GO:0019171 ((3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity); GO:0019265 (glycine biosynthetic process, by transamination of glyoxylate); GO:0019395 (fatty acid oxidation); GO:0019430 (removal of superoxide radicals); GO:0019433 (triglyceride catabolic process); GO:0019541 (propionate metabolic process); GO:0019629 (propionate catabolic process, 2-methylcitrate cycle); GO:0019693 (ribose phosphate metabolic process); GO:0019878 (lysine biosynthetic process via aminoadipic acid); GO:0030170 (pyridoxal phosphate binding); GO:0031108 (holo-[acyl-carrier-protein] biosynthetic process); GO:0032048 (cardiolipin metabolic process); GO:0032049 (cardiolipin biosynthetic process); GO:0033743 (peptide-methionine (R)-S-oxide reductase activity); GO:0033883 (pyridoxal phosphatase activity); GO:0034614 (cellular response to reactive oxygen species); GO:0035336 (long-chain fatty-acyl-CoA metabolic process); GO:0042180 (ketone metabolic process); GO:0042743 (hydrogen peroxide metabolic process); GO:0042759 (long-chain fatty acid biosynthetic process); GO:0043337 (cardiolipin synthase (CMP-forming)); GO:0045723 (positive regulation of fatty acid biosynthetic process); GO:0046496 (nicotinamide nucleotide metabolic process); GO:0046654 (tetrahydrofolate biosynthetic process); GO:0046656 (folic acid biosynthetic process); GO:0046711 (GDP biosynthetic process); GO:0047046 (homoisocitrate dehydrogenase activity); GO:0047066 (phospholipid-hydroperoxide glutathione peroxidase activity); GO:0047536 (2-aminoadipate transaminase activity); GO:0048039 (ubiquinone binding); GO:0048250 (iron import into the mitochondrion); GO:0051536 (iron-sulfur cluster binding); GO:0051537 (2 iron, 2 sulfur cluster binding); GO:0051539 (4 iron, 4 sulfur cluster binding); GO:0051792 (medium-chain fatty acid biosynthetic process); GO:0051903 (S-(hydroxymethyl)glutathione dehydrogenase [NAD(P)+] activity); GO:0070403 (NAD+ binding); GO:0070485 (dehydro-D-arabinono-1,4-lactone biosynthetic process); GO:0071400 (cellular response to oleic acid); GO:0072593 (reactive oxygen species metabolic process); GO:0110050 (deaminated glutathione amidase activity); GO:0140300 (serine import into mitochondrion); GO:1900059 (positive regulation of sulfate assimilation); GO:1900208 (regulation of cardiolipin metabolic process); GO:1904775 (positive regulation of ubiquinone biosynthetic process); GO:1990545 (mitochondrial thiamine pyrophosphate transmembrane transport); GO:2000214 (regulation of proline metabolic process)",269
