Gene,ORF,UniprotID,Protein description,SNson/PELson       (average)         ,SNcarb/PELcarb  (average)          ,Yeast / Mito,Soluble,Peripheral,Integral,Ambiguous,L sol,L per,L int,Outer membrane,Inner membrane,Inter-membrane space,Matrix,,,,max
COX16,YJL003W,P47081,Mitochondrial inner membrane protein; required for assembly of cytochrome c oxidase,0.5,0.61,0,,,X,,0,0,0.94,,X,,,,,,94%
COX17,YLL009C,Q12287,Copper metallochaperone that transfers copper to Sco1p and Cox11p; eventual delivery to cytochrome c oxidase; contains twin cysteine-x9-cysteine motifs,18.01,25.25,0.31,X,,,,0.97,0,0,,,X,,,,,97%
COX18,YGR062C,P53239,"Protein required for membrane insertion of C-terminus of Cox2p; mitochondrial integral inner membrane protein; interacts genetically and physically with Mss2p and Pnt1p; similar to S. cerevisiae Oxa1, N. crassa Oxa2p, and E. coli YidC",0.23,0.24,0,,,X,,0,0,0.96,,X,,,,,,96%
COX19,YLL018C-A,Q3E731,Protein required for cytochrome c oxidase assembly; located in the cytosol and mitochondrial intermembrane space; putative copper metallochaperone that delivers copper to cytochrome c oxidase; contains twin cysteine-x9-cysteine motifs,12.28,7.68,0.69,X,,,,0.86,0,0,,,X,,,,,86%
COX2,Q0250,P00410,Subunit II of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits,0.21,0.1,0.11,,,X,,0,0,0.95,,X,,,,,,95%
COX20,YDR231C,Q04935,Mitochondrial inner membrane protein; required for proteolytic processing of Cox2p and its assembly into cytochrome c oxidase,0.3,0.11,0.61,,,X,,0,0,0.97,,X,,,,,,97%
COX23,YHR116W,P38824,Protein that functions in mitochondrial copper homeostasis; mitochondrial intermembrane space protein; essential for functional cytochrome oxidase expression; homologous to Cox17p; contains twin cysteine-x9-cysteine motifs,14.16,19.92,0.31,X,,,,0.98,0,0,,,X,,,,,98%
COX26,YDR119W-A,Q2V2P9,Putative protein of unknown function; copurifies with respiratory chain supercomplexes composed of Complex III (ubiquinol-cytochrome c reductase) and Complex IV (cytochrome c oxidase),0.36,1.25,0.18,,,X,,0,0,0.92,,X,,,,,,92%
COX3,Q0275,P00420,Subunit III of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits,--,0.2,0,,,X,,0,0,0,,X,,,,,,0%
COX4,YGL187C,P04037,Subunit IV of cytochrome c oxidase; the terminal member of the mitochondrial inner membrane electron transport chain; precursor N-terminal 25 residues are cleaved during mitochondrial import; phosphorylated; spermidine enhances translation,3.8,6.33,0.37,,,,X,0.38,0.11,0,,,,,,,,38%
COX5A,YNL052W,P00424,"Subunit Va of cytochrome c oxidase; cytochrome c oxidase is the terminal member of the mitochondrial inner membrane electron transport chain; Cox5Ap is predominantly expressed during aerobic growth while its isoform Vb (Cox5Bp) is expressed during anaerobic growth; COX5A has a paralog, COX5B, that arose from the whole genome duplication",0.45,0.74,0.28,,,X,,0,0,0.94,,X,,,,,,94%
COX5B,YIL111W,P00425,"Subunit Vb of cytochrome c oxidase; cytochrome c oxidase is the terminal member of the mitochondrial inner membrane electron transport chain; Cox5Bp is predominantly expressed during anaerobic growth while its isoform Va (Cox5Ap) is expressed during aerobic growth; COX5B has a paralog, COX5A, that arose from the whole genome duplication",0.84,0.82,0,,,X,,0,0,0.7,,X,,,,,,70%
COX6,YHR051W,P00427,Subunit VI of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; expression is regulated by oxygen levels,3.53,4.92,0.58,,,,X,0.09,0.06,0,,,,,,,,9%
COX7,YMR256C,P10174,Subunit VII of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain,0.32,0.13,0.51,,,X,,0,0,0.97,,X,,,,,,97%
COX8,YLR395C,P04039,Subunit VIII of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain,0.27,0.9,0.17,,,X,,0,0,0.93,,X,,,,,,93%
COX9,YDL067C,P07255,Subunit VIIa of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain,0.29,0.1,0.16,,,X,,0,0,0.96,,X,,,,,,96%
CPR1,YDR155C,P14832,Cytoplasmic peptidyl-prolyl cis-trans isomerase (cyclophilin); catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; binds the drug cyclosporin A; N-terminally propionylated in vivo; protein abundance increases in response to DNA replication stress,8.64,8.24,20.45,X,,,,0.91,0,0,,,X,,,,,91%
CPR3,YML078W,P25719,Mitochondrial peptidyl-prolyl cis-trans isomerase (cyclophilin); catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; involved in protein refolding after import into mitochondria,16.84,17.25,0.58,X,,,,0.98,0,0,,,,X,,,,98%
CPR5,YDR304C,P35176,"Peptidyl-prolyl cis-trans isomerase (cyclophilin) of the ER; catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; transcriptionally induced in response to unfolded proteins in the ER; CPR5 has a paralog, CPR2, that arose from the whole genome duplication",6.21,4.76,6.07,,,,X,0.17,0,0,,,,,,,,17%
CRC1,YOR100C,Q12289,Mitochondrial inner membrane carnitine transporter; required for carnitine-dependent transport of acetyl-CoA from peroxisomes to mitochondria during fatty acid beta-oxidation,0.18,0.07,0,,,X,,0,0,0.92,,X,,,,,,92%
CRD1,YDL142C,Q07560,"Cardiolipin synthase; produces cardiolipin, which is a phospholipid of the mitochondrial inner membrane that is required for normal mitochondrial membrane potential and function; required to maintain tubular mitochondrial morphology and functions in mitochondrial fusion; also required for normal vacuolar ion homeostasis",0.14,0.03,0,,,X,,0,0,0.69,,X,,,,,,69%
CRP1,YHR146W,P38845,"Protein that binds to cruciform DNA structures; CRP1 has a paralog, MDG1, that arose from the whole genome duplication",5.02,4.91,8.94,,,,X,0.17,0.01,0,,,,,,,,17%
CTP1,YBR291C,P38152,Mitochondrial inner membrane citrate transporter; member of the mitochondrial carrier family,0.32,0.66,0.18,,,X,,0,0,0.96,,X,,,,,,96%
CWH41,YGL027C,P53008,"Processing alpha glucosidase I; ER type II integral membrane N-glycoprotein involved in assembly of cell wall beta 1,6 glucan and asparagine-linked protein glycosylation; also involved in ER protein quality control and sensing of ER stress",1.19,29.15,6.41,,X,,,0,0.94,0,,X,,,,,,94%
CYB2,YML054C,P00175,"Cytochrome b2 (L-lactate cytochrome-c oxidoreductase); component of the mitochondrial intermembrane space, required for lactate utilization; expression is repressed by glucose and anaerobic conditions",11.56,24.39,0.54,X,,,,0.98,0,0,,,X,,,,,98%
CYC1,YJR048W,P00044,"Cytochrome c, isoform 1; also known as iso-1-cytochrome c; electron carrier of the mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration; mutations in human homolog cause insulin-responsive hyperglycemia; CYC1 has a paralog, CYC7, that arose from the whole genome duplication",27.84,18.42,0.45,X,,,,0.95,0,0,,,X,,,,,95%
CYC2,YOR037W,P38909,Mitochondrial peripheral inner membrane protein; contains a FAD cofactor in a domain exposed in the intermembrane space; exhibits redox activity in vitro; likely participates in ligation of heme to acytochromes c and c1 (Cyc1p and Cyt1p),0.23,4.87,0,,X,,,0,0.85,0.05,,X,,,,,,85%
CYC3,YAL039C,P06182,Cytochrome c heme lyase (holocytochrome c synthase); attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in the mitochondrial intermembrane space; human ortholog may have a role in microphthalmia with linear skin defects (MLS),0.43,5.97,0.3,,X,,,0,0.92,0.03,,X,X,,,,,92%
CYC7,YEL039C,P00045,"Cytochrome c isoform 2, expressed under hypoxic conditions; also known as iso-2-cytochrome c; electron carrier of the mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration; protein abundance increases in response to DNA replication stress; CYC7 has a paralog, CYC1, that arose from the whole genome duplication",34.76,32.34,0.85,X,,,,0.81,0,0,,,X,,,,,81%
CYM1,YDR430C,P32898,Lysine-specific metalloprotease of the pitrilysin family; metalloprotease of the intermembrane space; degrades proteins and presequence peptides cleaved from imported proteins; required for normal mitochondrial morphology,6.44,16.45,0.28,X,,,,0.96,0.02,0,,,,X,,,,96%
CYT1,YOR065W,P07143,"Cytochrome c1; component of the mitochondrial respiratory chain; expression is regulated by the heme-activated, glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex",0.25,0.1,0.44,,,X,,0,0,0.96,,X,,,,,,96%
CYT2,YKL087C,Q00873,"Cytochrome c1 heme lyase; involved in maturation of cytochrome c1, which is a subunit of the mitochondrial ubiquinol-cytochrome-c reductase; links heme covalently to apocytochrome c1",0.31,0.18,0,,,X,,0,0,0.97,,X,,,,,,97%
DFM1,YDR411C,Q12743,"Endoplasmic reticulum (ER) localized protein; involved in ER-associated protein degradation (ERAD), ER stress, and homeostasis; interacts with components of ERAD-L and ERAD-C and Cdc48p; derlin-like family member similar to Der1p",0.63,0.53,3.31,,,X,,0,0,0.9,,X,,,,,,90%
DFR1,YOR236W,P07807,Dihydrofolate reductase involved in tetrahydrofolate biosynthesis; required for respiratory metabolism,7.33,20.00**,0.26,X,,,,0,0,0,,,,X,,,,0%
DIA4,YHR011W,P38705,Probable mitochondrial seryl-tRNA synthetase; mutant displays increased invasive and pseudohyphal growth,2.3,12.71,0.23,,X,,,0.11,0.83,0,,X,,,,,,83%
DIC1,YLR348C,Q06143,"Mitochondrial dicarboxylate carrier; integral membrane protein, catalyzes a dicarboxylate-phosphate exchange across the inner mitochondrial membrane, transports cytoplasmic dicarboxylates into the mitochondrial matrix",0.19,0.39,0.36,,,X,,0,0,0.94,,X,,,,,,94%
DID2,YKR035W-A,P69771,Class E protein of the vacuolar protein-sorting (Vps) pathway; binds Vps4p and directs it to dissociate ESCRT-III complexes; forms a functional and physical complex with Ist1p; human ortholog may be altered in breast tumors,3.09,5.12,2.01,,,,X,0.08,0.13,0,,,,,,,,13%
DLD1,YDL174C,P32891,"D-lactate dehydrogenase; oxidizes D-lactate to pyruvate, transcription is heme-dependent, repressed by glucose, and derepressed in ethanol or lactate; located in the mitochondrial inner membrane",0.34,4.61,0.26,,X,,,0,0.84,0.09,,X,,,,,,84%
DLD2,YDL178W,P46681,D-lactate dehydrogenase; located in the mitochondrial matrix,16.61,15.42,0.25,X,,,,0.98,0,0,,,,X,,,,98%
DNF1,YER166W,P32660,"Aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation, contributing to endocytosis, protein transport, and cellular polarization; localizes primarily to the plasma membrane; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone; DNF1 has a paralog, DNF2, that arose from the whole genome duplication",0.29,1.04,8.54,,,X,,0,0,0.93,,X,,,,,,93%
DPM1,YPR183W,P14020,"Dolichol phosphate mannose (Dol-P-Man) synthase of the ER membrane; catalyzes the formation of Dol-P-Man from Dol-P and GDP-Man; required for glycosyl phosphatidylinositol membrane anchoring, O mannosylation, and protein glycosylation",0.31,0.49,1.75,,,X,,0,0,0.96,X,,,,,,,96%
DSS1,YMR287C,P39112,3'-5' exoribonuclease; component of the mitochondrial degradosome along with the ATP-dependent RNA helicase Suv3p; the degradosome associates with the ribosome and mediates turnover of aberrant or unprocessed RNAs,0.91,3.76,0.19,,,,X,0,0.62,0.08,,,,,,,,62%
DUG1,YFR044C,P43616,Cys-Gly metallo-di-peptidase; forms a complex with Dug2p and Dug3p to degrade glutathione (GSH) and other peptides containing a gamma-glu-X bond in an alternative pathway to GSH degradation by gamma-glutamyl transpeptidase (Ecm38p),5.86,6.47,2.53,X,,,,0.65,0.01,0,,,,X,,,,65%
ECM10,YEL030W,P39987,"Heat shock protein of the Hsp70 family; localized in mitochondrial nucleoids, plays a role in protein translocation, interacts with Mge1p in an ATP-dependent manner; overexpression induces extensive mitochondrial DNA aggregations; ECM10 has a paralog, SSC1, that arose from the whole genome duplication",1.26,4.64,0.85,,X,,,0,0.7,0.01,,X,,,,,,70%
ECM19,YLR390W,Q06011,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",1.18,15.83,0.42,,X,,,0,0.97,0,,X,,,,,,97%
ECM31,YBR176W,P38122,"Ketopantoate hydroxymethyltransferase; required for pantothenic acid biosynthesis, converts 2-oxoisovalerate into 2-dehydropantoate",8.16,17.79,0.17,X,,,,0.98,0.01,0,,,,X,,,,98%
ECM33,YBR078W,P38248,"GPI-anchored protein of unknown function; possible role in apical bud growth; GPI-anchoring on the plasma membrane crucial to function; phosphorylated in mitochondria; similar to Sps2p; ECM33 has a paralog, PST1, that arose from the whole genome duplication",0.84,0.16,0.23,,,X,,0,0,0.69,,X,,,,,,69%
ECM4,YKR076W,P36156,Omega class glutathione transferase; not essential; similar to Ygr154cp; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm,12.58,11.27,1.64,X,,,,0.97,0,0,,,,X,,,,97%
EDE1,YBL047C,P34216,Scaffold protein involved in the formation of early endocytic sites; putative regulator of cytokinesis; homo-oligomerization is required for localization to and organization of endocytic sites; has a network of interactions with other endocytic proteins; binds membranes in a ubiquitin-dependent manner; may also bind ubiquitinated membrane-associated proteins; interacts with Cmk2 and functions upstream of CMK2 in regulating non-apoptotic cell death; homolog of mammalian Eps15,1.61,6.97,166.8,,X,,,0.01,0.86,0,,X,,,,,,86%
EFR3,YMR212C,Q03653,Protein required for Stt4-containing PI kinase complex localization; required for Stt4-containing phosphoinositide (PI) kinase patch assembly at the plasma membrane; recruited to the plasma membrane via a conserved basic patch near its N-terminus; exhibits synthetic lethal genetic interactions with PHO85; has sequence similarity to the Drosophila rolling blackout (RBO) gene,0.49,10.12,0.81,,X,,,0,0.96,0,,X,,,,,,96%
EHD3,YDR036C,P28817,3-hydroxyisobutyryl-CoA hydrolase; member of a family of enoyl-CoA hydratase/isomerases; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; phosphorylated; mutation affects fluid-phase endocytosis,7.06,12.56,0.2,X,,,,0.97,0.01,0,,,,X,,,,97%
EHT1,YBR177C,P38295,"Acyl-coenzymeA:ethanol O-acyltransferase; plays a minor role in medium-chain fatty acid ethyl ester biosynthesis; possesses short-chain esterase activity; localizes to lipid particles and the mitochondrial outer membrane; EHT1 has a paralog, EEB1, that arose from the whole genome duplication",0.64,9.55,0.43,,X,,,0,0.97,0,X,,,,,,,97%
EIS1,YMR031C,Q05050,"Component of the eisosome required for proper eisosome assembly; similar to Uso1p; authentic, non-tagged protein is detected in a phosphorylated state in highly purified mitochondria in high-throughput studies; protein increases in abundance and relocalizes from plasma membrane to cytoplasm upon DNA replication stress; EIS1 has a paralog, YKL050C, that arose from the whole genome duplication",3.56,6.11,16.97,,,,X,0.29,0.14,0,,,,,,,,29%
EMI1,YDR512C,Q04406,"Non-essential protein of unknown function; required for transcriptional induction of the early meiotic-specific transcription factor IME1, also required for sporulation; contains twin cysteine-x9-cysteine motifs",1.01,4.43,0.05,,X,,,0,0.75,0.03,,X,,,,,,75%
ENO1,YGR254W,P00924,"Enolase I, a phosphopyruvate hydratase; catalyzes conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression repressed in response to glucose; protein abundance increases in response to DNA replication stress; N-terminally propionylated in vivo; ENO1 has a paralog, ENO2, that arose from the whole genome duplication",1.55,4.83,91.61,,,,X,0,0.62,0,,,,,,,,62%
ENO2,YHR174W,P00925,"Enolase II, a phosphopyruvate hydratase; catalyzes conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression induced in response to glucose; ENO2 has a paralog, ENO1, that arose from the whole genome duplication",0.85,3.85,79.75,,,,X,0,0.66,0.08,,,,,,,,66%
ERG26,YGL001C,P53199,C-3 sterol dehydrogenase; catalyzes the second of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol biosynthesis,0.42,5.1,2.04,,X,,,0,0.88,0.06,,X,,,,,,88%
ERG27,YLR100W,Q12452,3-keto sterol reductase; catalyzes the last of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol biosynthesis; mutants are sterol auxotrophs,0.56,3.17,1.26,,,,X,0,0.46,0.34,X,,,,,,,46%
ERG28,YER044C,P40030,"Endoplasmic reticulum membrane protein; may facilitate protein-protein interactions between the Erg26p dehydrogenase and the Erg27p 3-ketoreductase and/or tether these enzymes to the ER, also interacts with Erg6p",0.47,0.7,0.98,,,X,,0,0,0.94,X,,,,,,,94%
ERG6,YML008C,P25087,"Delta(24)-sterol C-methyltransferase; converts zymosterol to fecosterol in the ergosterol biosynthetic pathway by methylating position C-24; localized to lipid particles, the plasma membrane-associated endoplasmic reticulum, and the mitochondrial outer membrane",0.43,12.9,1.44,,X,,,0,0.95,0,X,,,,,,,95%
ERG9,YHR190W,P29704,Farnesyl-diphosphate farnesyl transferase (squalene synthase); joins two farnesyl pyrophosphate moieties to form squalene in the sterol biosynthesis pathway,0.29,0.36,0.89,,,X,,0,0,0.97,X,,,,,,,97%
ERJ5,YFR041C,P43613,Type I membrane protein with a J domain; required to preserve the folding capacity of the endoplasmic reticulum; loss of the non-essential ERJ5 gene leads to a constitutively induced unfolded protein response,0.46,0.05**,3.16,,,X,,0,0,0,,X,,,,,,0%
ERO1,YML130C,Q03103,Thiol oxidase required for oxidative protein folding in the ER; essential for maintaining proper redox balance in ER; feedback regulation of Ero1p occurs via reduction and oxidation of Ero1p regulatory bonds; reduced Pdi1p activates Ero1p by direct reduction of Ero1p regulatory bonds; depletion of thiol substrates and accumulation of oxidized Pdi1p results in inactivation of Ero1p by both Pdi1p-mediated oxidation and autonomous oxidation of Ero1p regulatory bonds,1.39,0.24,1.8,,,,X,0,0,0.09,,,,,,,,9%
ERP1,YAR002C-A,Q05359,"Member of the p24 family involved in ER to Golgi transport; role in misfolded protein quality control; forms heterotrimeric complex with Erp2p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP1 has a paralog, ERP6, that arose from the whole genome duplication",2,0.26,4.15,,,,X,0,0,0,,,,,,,,0%
ERV1,YGR029W,P27882,"Flavin-linked sulfhydryl oxidase of the mitochondrial IMS; N-terminus is an intrinsically disordered domain that in the cytosol helps target Erv1p to mitochondria, and in the intermembrane space oxidizes Mia40p as part of a disulfide relay system that promotes intermembrane space retention of imported proteins; functional ortholog of human GFER (ALR)",8.82,11.11,1.2,X,,,,0.97,0,0,,,X,,,,,97%
ERV25,YML012W,P54837,    Member of the p24 family involved in ER to Golgi transport; role in misfolded protein quality control;,0.43,0.21,1.28,,,X,,0,0,0.96,X,,,,,,,96%
ESBP6,YNL125C,P53918,"Protein with similarity to monocarboxylate permeases; appears not to be involved in transport of monocarboxylates such as lactate, pyruvate or acetate across the plasma membrane",0.71,0.05**,0.65,,,X,,0,0,0,,X,,,,,,0%
ETR1,YBR026C,P38071,"2-enoyl thioester reductase; member of the medium chain dehydrogenase/reductase family; localized to in mitochondria, where it has a probable role in fatty acid synthesis",24.35,23.6,0.73,X,,,,0.96,0,0,,,,X,,,,96%
EXG2,YDR261C,P52911,"Exo-1,3-beta-glucanase; involved in cell wall beta-glucan assembly; may be anchored to the plasma membrane via a glycosylphosphatidylinositol (GPI) anchor",0.79,0.76,0,,,X,,0,0,0.76,,X,,,,,,76%
EXO5,YBR163W,P38289,Mitochondrial 5'-3' exonuclease and sliding exonuclease; required for mitochondrial genome maintenance; distantly related to the RecB nuclease domain of bacterial RecBCD recombinases; may be regulated by the transcription factor Ace2,2.66,14,0,,X,,,0.23,0.71,0,,X,,,,,,71%
FAA1,YOR317W,P30624,"Long chain fatty acyl-CoA synthetase; activates imported fatty acids with a preference for C12:0-C16:0 chain lengths; functions in long chain fatty acid import; accounts for most acyl-CoA synthetase activity; localized to lipid particles; involved in sphingolipid-to-glycerolipid metabolism; forms ER foci upon DNA replication stress; FAA1 has a paralog, FAA4, that arose from the whole genome duplication",0.68,9.41,1.64,,X,,,0,0.97,0,X,,,,,,,97%
FAA3,YIL009W,P39002,Long chain fatty acyl-CoA synthetase; activates imported fatty acids; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery,1.42,5.81,0,,X,,,0,0.82,0,,X,,,,,,82%
FAA4,YMR246W,P47912,"Long chain fatty acyl-CoA synthetase; activates imported fatty acids with a preference for C12:0-C16:0 chain lengths; functions in long chain fatty acid import; important for survival during stationary phase; localized to lipid particles; involved in sphingolipid-to-glycerolipid metabolism; forms cytoplasmic foci upon DNA replication stress; FAA4 has a paralog, FAA1, that arose from the whole genome duplication",0.49,3.41,4.94,,X,,,0,0.56,0.28,,X,,,,,,56%
FAR8,YMR029C,Q05040,"Protein involved in recovery from arrest in response to pheromone; acts in a cell cycle arrest recovery pathway independent from Far1p; interacts with Far3p, Far7p, Far9p, Far10p, and Far11p",2.42,3.68,0.85,,,,X,0,0.06,0,,,,,,,,6%
FAS2,YPL231W,P19097,"Alpha subunit of fatty acid synthetase; complex catalyzes the synthesis of long-chain saturated fatty acids; contains the acyl-carrier protein domain and beta-ketoacyl reductase, beta-ketoacyl synthase and self-pantetheinylation activities",0.54,9.34,##,,X,,,0,0.96,0,,X,,,,,,96%
FAT3,YKL187C,P34231,"Protein required for fatty acid uptake; protein abundance increases in cortical patches in response to oleate exposure; the authentic, non-tagged protein is detected in a phosphorylated state in highly purified mitochondria in high-throughput studies; FAT3 has a paralog, YLR413W, that arose from the whole genome duplication",0.22,0.16,0.39,,,X,,0,0,0.96,,X,,,,,,96%
FAU1,YER183C,P40099,"5,10-methenyltetrahydrofolate synthetase; involved in folic acid biosynthesis",0.89,4.27,0.06,,X,,,0,0.75,0.04,,X,,,,,,75%
FBA1,YKL060C,P14540,"Fructose 1,6-bisphosphate aldolase; required for glycolysis and gluconeogenesis; catalyzes conversion of fructose 1,6 bisphosphate to glyceraldehyde-3-P and dihydroxyacetone-P; locates to mitochondrial outer surface upon oxidative stress; N-terminally propionylated in vivo",1.54,4.84,36.16,,,,X,0,0.62,0,,,,,,,,62%
FIS1,YIL065C,P40515,Protein involved in mitochondrial fission and peroxisome abundance; may have a distinct role in tethering protein aggregates to mitochondria in order to retain them in the mother cell; required for localization of Dnm1p and Mdv1p during mitochondrial division; mediates ethanol-induced apoptosis and ethanol-induced mitochondrial fragmentation,0.71,0.62,0.43,,,X,,0,0,0.85,X,,,,,,,85%
FKS1,YLR342W,P38631,"Catalytic subunit of 1,3-beta-D-glucan synthase; functionally redundant with alternate catalytic subunit Gsc2p; binds to regulatory subunit Rho1p; involved in cell wall synthesis and maintenance; localizes to sites of cell wall remodeling; FKS1 has a paralog, GSC2, that arose from the whole genome duplication",0.12,0.05**,1.33,,,X,,0,0,0,,X,,,,,,0%
FLX1,YIL134W,P40464,"Protein required for transport of flavin adenine dinucleotide (FAD); a synthesis product of riboflavin, across the mitochondrial membrane",0.38,0.13,0,,,X,,0,0,0.96,,X,,,,,,96%
FMC1,YIL098C,P40491,Mitochondrial matrix protein; required for assembly or stability at high temperature of the F1 sector of mitochondrial F1F0 ATP synthase; null mutant temperature sensitive growth on glycerol is suppressed by multicopy expression of Odc1p,4.47,12.49,0.45,X,,,,0.86,0.09,0,,,,X,,,,86%
FMP10,YER182W,P40098,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",0.23,0.92,0.38,,,X,,0,0,0.91,,X,,,,,,91%
FMP16,YDR070C,Q12497,"Protein of unknown function; may be involved in responding to conditions of stress; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; protein abundance increases in response to DNA replication stress",23.14,36.76,8.12,X,,,,0.88,0,0,,,,X,,,,88%
FMP23,YBR047W,P38231,"Putative protein of unknown function; proposed to be involved in iron or copper homeostasis; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",1.25,12.45,0,,X,,,0,0.97,0,,X,,,,,,97%
FMP25,YLR077W,Q08023,Protein required for assembly of respiratory complex III; mitochondrial inner membrane protein; required for an early step in assembly of respiratory complex III (cytochrome bc1 complex); mRNA is targeted to mitochondria,0.35,0.14,0.14,,,X,,0,0,0.97,,X,,,,,,97%
FMP30,YPL103C,Q02883,Protein with a role in maintaining mitochondrial morphology; also involved in maintaining normal cardiolipin levels; mitochondrial inner membrane protein; proposed to be involved in N-acylethanolamine metabolism; related to mammalian N-acylPE-specific phospholipase D,1.02,1.04,0.04,,,X,,0,0,0.42,,X,,,,,,42%
FMP32,YFL046W,P43557,"Putative assembly factor for cytochrome c oxidase; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; has similarity to human MCUR1/CCDC90A",0.27,0.22,0.46,,,X,,0,0,0.97,,X,,,,,,97%
FMP33,YJL161W,P46998,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",0.36,0.44,0.17,,,X,,0,0,0.97,,X,,,,,,97%
FMP40,YPL222W,Q08968,"Putative protein of unknown function; proposed to be involved in responding to environmental stresses; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",2.33,13.83,1.36,,X,,,0.12,0.83,0,,X,,,,,,83%
FMP41,YNL168C,P53889,"Putative protein of unknown function; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",28.02,28.67,0.17,X,,,,0.92,0,0,,,,X,,,,92%
FMP45,YDL222C,Q07651,"Integral membrane protein localized to mitochondria; required for sporulation and maintaining sphingolipid content; similar to SUR7; FMP45 has a paralog, YNL194C, that arose from the whole genome duplication",0.13,0.28,54.33,,,X,,0,0,0.83,,X,,,,,,83%
FMP46,YKR049C,P36141,"Putative redox protein containing a thioredoxin fold; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",6.96,19.35,0.92,X,,,,0.96,0.02,0,,,,X,,,,96%
FMP52,YER004W,P40008,Protein of unknown function; localized to the mitochondrial outer membrane; induced by treatment with 8-methoxypsoralen and UVA irradiation,1.26,6.87,1.07,,X,,,0,0.91,0,X,,,,,,,91%
FMT1,YBL013W,P32785,Methionyl-tRNA formyltransferase; catalyzes the formylation of initiator Met-tRNA in mitochondria; potential Cdc28p substrate,1.1,11.04,0,,X,,,0,0.97,0,,X,,,,,,97%
FOL1,YNL256W,P53848,"Multifunctional enzyme of the folic acid biosynthesis pathway; has dihydropteroate synthetase, dihydro-6-hydroxymethylpterin pyrophosphokinase, and dihydroneopterin aldolase activities",0.81,4.85,0.46,,X,,,0,0.85,0.03,,X,,,,,,85%
FOL3,YMR113W,Q12676,"Dihydrofolate synthetase, involved in folic acid biosynthesis; catalyzes conversion of dihydropteroate to dihydrofolate in folate coenzyme biosynthesis; FOL3 has a paralog, RMA1, that arose from the whole genome duplication",1.28,17.87,0,,X,,,0,0.97,0,,X,,,,,,97%
FOX2,YKR009C,Q02207,3-hydroxyacyl-CoA dehydrogenase and enoyl-CoA hydratase; multifunctional enzyme of the peroxisomal fatty acid beta-oxidation pathway,1.9,11.99,8.77,,X,,,0.04,0.92,0,,X,,,,,,92%
FPR1,YNL135C,P20081,Peptidyl-prolyl cis-trans isomerase (PPIase); binds to the drugs FK506 and rapamycin; also binds to the nonhistone chromatin binding protein Hmo1p and may regulate its assembly or function; N-terminally propionylated in vivo,4.23,9.92,11.46,X,,,,0.8,0.1,0,,,,X,,,,80%
FPR2,YDR519W,P32472,Membrane-bound peptidyl-prolyl cis-trans isomerase (PPIase); binds to the drugs FK506 and rapamycin; expression pattern suggests possible involvement in ER protein trafficking; relocalizes from nucleus to vacuole upon DNA replication stress,5.1,3.85,5.41,,,,X,0.02,0,0,,,,,,,,2%
